176.7901, 89.58885, 0, 0, 0, 144858025, 0, 0,0,True
176.7969, 89.58885, 3052, 7, 7809, 144873098, 0, 0,0,True
176.8064, 89.58885, 3052, 7, 7809, 144873098, 0, 0,0,True
176.8181, 89.58885, 3052, 7, 7809, 144887202, 0, 0,0,True
176.827, 89.58885, 3052, 7, 7809, 144892793, 0, 0,0,True
176.8377, 89.58885, 3052, 7, 7809, 144899220, 0, 0,0,True
176.8518, 89.58885, 3052, 7, 7809, 144909954, 0, 0,1,True
176.8607, 89.58885, 3052, 7, 7809, 144914050, 0, 0,1,True
176.8706, 89.58885, 3052, 7, 7809, 144922242, 0, 0,1,True
176.8851, 89.58885, 3052, 7, 7809, 144925099, 0, 0,1,True
176.8943, 89.58885, 3052, 7, 7809, 144934178, 0, 0,1,True
176.9041, 89.58885, 3052, 7, 7809, 144933041, 0, 0,2,True
176.915, 89.58885, 12188, 8, 12819, 144944809, 0, 0,2,True
176.927, 89.58885, 12188, 8, 12819, 144952609, 0, 0,2,True
176.9374, 89.58885, 12188, 8, 12819, 144963159, 0, 0,2,True
176.9512, 89.58885, 12188, 8, 12819, 144960097, 0, 0,2,True
176.9601, 89.58885, 12188, 8, 12819, 144970582, 0, 0,2,True
176.9711, 89.58885, 12188, 8, 12819, 144976481, 0, 0,3,True
176.9848, 89.58885, 16756, 8, 15324, 144979665, 0, 0,3,True
176.993, 89.58885, 16756, 8, 15324, 144988017, 0, 0,3,True
177.0062, 89.58885, 16756, 8, 15324, 144989817, 0, 0,3,True
177.0153, 89.58885, 16756, 8, 15324, 144994576, 0, 0,3,True
177.026, 89.58885, 16756, 8, 15324, 145003823, 0, 0,3,True
177.0402, 89.58885, 16756, 8, 15324, 145014313, 0, 0,4,True
177.0484, 89.58885, 21324, 8, 17829, 145018953, 0, 0,4,True
177.0593, 89.58885, 21324, 8, 17829, 145029095, 0, 0,4,True
177.0706, 89.58885, 21324, 8, 17829, 145027209, 0, 0,4,True
177.0815, 89.58885, 21324, 8, 17829, 145035401, 0, 0,4,True
177.0949, 89.58885, 21324, 8, 17829, 145051369, 0, 0,5,True
